Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
AD-0027,Adams,AD-0027,Central Wisc,Petenwell,16,262043,4888298,Terrace,River,Unknown
Buffalo Mound,Adams,AD-0030,Central Wisc,Petenwell,15,739905,4884902,Terrace,River,Lake
Crooked Lake,Adams,AD-0041,Central Wisc,Lakes Cluster,16,289769,4849085,Terrace,Lake,Lake
Dead Horse Slough,Adams,AD-0005,Central Wisc,Isolate,16,272694,4886302,Terrace,Creek,Valley
Douglas Effigy,Adams,AD-0056,Central Wisc,Site Pair,16,271254,4849563,Terrace,River,Confluence
Fourth Drive North,Adams,AD-0197,Baraboo Range,Site Pair,16,284973,4837352,Hillslopes,Upland,Headwaters
Fourth Drive South,Adams,AD-0196,Baraboo Range,Site Pair,16,284607,4836882,Plateau,Upland,Headwaters
Frank McConick,Adams,AD-0001,Central Wisc,Isolate,16,277860,4873247,Terrace,Creek,Valley
Jordan Lake,Adams,AD-0045,Central Wisc,Lakes Cluster,16,286951,4846843,Lakeshore,Lake,Lake
Monroe Center #3,Adams,AD-0025,Central Wisc,Petenwell,16,264643,4887768,Terrace,River,Unknown
Monroe Center #4,Adams,AD-0025,Central Wisc,Petenwell,16,264053,4887452,Terrace,River,Unknown
Oxbow Bend,Adams,AD-0053,Central Wisc,Nekoosa,16,270233,4907984,Terrace,Creek,Confluence
Parker Lake,Adams,AD-0039,Central Wisc,Lakes Cluster,16,287916,4850608,Terrace,Lake,Lake
Point Bluff Effigy,Adams,AD-0057,Central Wisc,Site Pair,16,270863,4850398,Terrace,River,Confluence
Spring Creek,Adams,AD-0023,Central Wisc,Petenwell,16,262727,4889055,Terrace,River,Unknown
Strong's Prairie Central,Adams,AD-0061,Central Wisc,Petenwell,16,260193,4882647,Terrace,River,Unknown
Strong's Prairie North,Adams,AD-0062,Central Wisc,Petenwell,16,260193,4883475,Terrace,River,Unknown
Strong's Prairie South,Adams,AD-0065,Central Wisc,Petenwell,16,259950,4881411,Terrace,River,Unknown
Swartout Slough,Adams,AD-0020,Central Wisc,Petenwell,16,260606,4883831,Terrace,River,Spring
Swartout Springs,Adams,AD-0032,Central Wisc,Petenwell,16,260352,4884587,Terrace,River,Spring
Van Curen Lake,Adams,AD-0029,Central Wisc,Petenwell,16,260344,4886093,Terrace,River,Lake
Ward,Adams,AD-0059,Central Wisc,Petenwell,16,260246,4883044,Terrace,River,Unknown
Wolf Lake,Adams,AD-0104,Central Wisc,Lakes Cluster,16,288709,4852275,Terrace,Lake,Lake
Alexander,Allamakee,AM-0093,Harper's Ferry,Lansing,15,647322,4800125,Bluff Edge,River,Floodplain
AM-0070,Allamakee,AM-0070,Harper's Ferry,Lansing,15,647985,4799660,Toeslope,River,Confluence
AM-0075,Allamakee,AM-0075,Harper's Ferry,Site Pair,15,654737,4792646,Toeslope,River,Floodplain
AM-0076,Allamakee,AM-0076,Harper's Ferry,Harpers Ferry,15,652104,4787374,Terrace,River,Confluence
AM-0113,Allamakee,AM-0113,Prairie du Chien,EFMO,15,647680,4771366,Ridge Spur,River,Confluence
Brazell Mounds,Allamakee,AM-0081,Harper's Ferry,Harpers Ferry,15,649137,4783217,Terrace,River,Confluence
Capoli Bluff 1,Allamakee,AM-0202,Harper's Ferry,Site Pair,15,651734,4797835,Toeslope,River,Springs
Capoli Bluff 2,Allamakee,AM-0204,Harper's Ferry,Site Pair,15,651984,4797591,Unknown,Creek,Confluence
Ferguson 1,Allamakee,AM-0107,Prairie du Chien,EFMO,15,646449,4771936,Terrace,River,Lake
Harpers Ferry Central,Allamakee,AM-0077,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry North,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry North Central,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry South,Allamakee,AM-0080/AM-0109,Harper's Ferry,Harpers Ferry,15,651140,4785930,Terrace,River,Confluence
Harpers Ferry West,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Heitmans Dam,Allamakee,AM-0074,Harper's Ferry,Site Pair,15,654799,4794185,Toeslope,River,Floodplain
Hemmenway,Allamakee,AM-0130,Harper's Ferry,Isolate,15,644207,4803099,Ridge Spur,Creek,Divide
Keller,Allamakee,AM-0069,Harper's Ferry,Lansing,15,648713,4799439,Terrace,River,Confluence
Klitt Farm,Allamakee,No OSA #,Harper's Ferry,Harpers Ferry,15,649710,4783865,Terrace,River,Confluence
Laird Farm Terrace,Allamakee,AM-0082,Prairie du Chien,EFMO,15,647608,4772030,Terrace,River,Confluence
Oil Springs Creek,Allamakee,No OSA #,Harper's Ferry,Harpers Ferry,15,651863,4788498,Terrace,River,Confluence
